cod_adm,type_abb,name,denom_abb,denom_ext,denom_emp,name_abb,global_id,year_ctr,annofine,st_length
1205,STR,STRADA,DEI COLLI,DEI COLLI,COLLI,STR DEI COLLI,{A58F4657-A6D4-4433-A201-C820FA7D89DF},,,3140.57433733000
1210,VIA,VIA,C. COLOMBO,CRISTOFORO COLOMBO,COLOMBO,VIA C. COLOMBO,{A911C712-763A-4EDD-B42B-EC43FE20D1AC},,,292.41219552700
1215,VIA,VIA,COMACCHIO,COMACCHIO,COMACCHIO,VIA COMACCHIO,{8EB67151-51CF-43BB-908C-DEB9BBC9E2C2},,,63.44383371390
1220,VIA,VIA,U. COMANDINI,UBALDO COMANDINI,COMANDINI,VIA U. COMANDINI,{35E403EC-28A9-493C-9887-71B5AF566982},,,175.37654738800
1225,VIA,VIA,F. COMMANDINO,FEDERICO COMMANDINO,COMANDINO,VIA F. COMMANDINO,{D46C42F9-3802-4380-9A1B-5274F6A81945},,,116.42097616700
1230,VIA,VIA,DEL COMMERCIO,DEL COMMERCIO,COMMERCIO,VIA DEL COMMERCIO,{78C2FEA1-0FF9-4DEE-897C-DB4743703FD1},,,52.89723456550
1235,VIA,VIA,D. COMPAGNI,DINO COMPAGNI,COMPAGNI,VIA D. COMPAGNI,{346F552A-F92A-4A9F-BA5D-0FEA024A9A8B},,,120.14116609100
1240,VIA,VIA,CONCA,CONCA,CONCA,VIA CONCA,{ACE930C5-7D5B-4AAC-ADC7-44BA6BEDF6ED},,,108.60841109400
1255,VIA,VIA,F. CONFALONIERI,FEDERICO CONFALONIERI,CONFALONIERI,VIA F. CONFALONIERI,{AB4059D9-0885-45AF-9F3C-9A493962DE55},,,172.67700834000
1260,VIA,VIA,DELLE CONTRAMINE,DELLE CONTRAMINE,CONTRAMINE,VIA DELLE CONTRAMINE,{EA9C869E-2301-4154-A100-0331F9A3F1AE},,,73.19557413630
1267,PLE,PIAZZALE,M. CORALLONI,MARIO CORALLONI,CORALLONI,PLE M. CORALLONI,{8A2B378B-CDDD-42E9-B3BA-50BCF5FD92C2},,,319.90468893700
1270,VIA,VIA,DEI CORDARI,DEI CORDARI,CORDARI,VIA DEI CORDARI,{15D70E62-F236-4A04-8C38-88DDC8333EAA},,,100.75656718200
3210,PZA,PIAZZA,OLIVIERI,OLIVIERI,OLIVIERI,PZA OLIVIERI,{B64235A2-3CAF-46C2-82A5-9A77DF42D045},,,27.09134224530
0,,,,,,,{524FB34D-887B-4408-8556-76F631D67C15},"2005",,236.42557618900
1275,VIA,VIA,A. CORELLI,ARCANGELO CORELLI,CORELLI,VIA A. CORELLI,{591F5211-D8F2-4627-B2AB-1E488300FD02},,,264.06242523600
1277,VIA,VIA,CORPO IT.LIBERAZIONE,CORPO ITALIANO DI LIBERAZIONE,CORPO ITALIANO LIBERAZIONE,V. CORPO IT.LIBERAZIONE,{3BAE4306-C3E0-49FA-917E-6BD243425AF2},,,487.21298744800
1280,VIA,VIA,CORPUS DOMINI,DEL CORPUS DOMINI,CORPUS DOMINI,VIA CORPUS DOMINI,{40E26CEF-372E-4E9E-BD2F-5EB5D8899828},,,84.15519120560
1285,VIA,VIA,C. CORRENTI,CESARE CORRENTI,CORRENTI,VIA C. CORRENTI,{D7C05ECF-89C5-48DA-927E-8B9940028EE9},,,231.03710050900
1290,VLE,VIALE,F. CORRIDONI,FILIPPO CORRIDONI,CORRIDONI,VLE F. CORRIDONI,{F6CA409A-0E7E-4F0C-9490-22A4E7130C2A},,,225.01077025200
1295,VIA,VIA,CORTIROLA,CORTIROLA,CORTIROLA,VIA CORTIROLA,{27F99E40-9592-4FB2-BF2F-A8444AC0246C},,,148.69549403900
1300,VIA,VIA,A. COSTA,ANDREA COSTA,COSTA,VIA A. COSTA,{85AA5563-846D-4BB6-8A6C-2D32F5BD0362},,,1313.67298921000
1385,PZA,PIAZZA,DEL MONTE,DEL MONTE,DEL MONTE,PZA DEL MONTE,{BC61D7E4-0F19-4D08-8835-55D4E7A9EFA2},,,39.00431442290
1390,VIA,VIA,F.LLI DEL PRETE,F.LLI DEL PRETE,DEL PRETE,VIA F.LLI DEL PRETE,{B58BC0A6-A47D-4F03-A17B-85413796811B},,,398.94862460900
1395,VIA,VIA,E. DE NICOLA,ENRICO DE NICOLA,DE NICOLA,VIA E. DE NICOLA,{14093CC1-2540-4478-BCEF-2E72237C80B6},,,108.85618450200
1765,VIA,VIA,U. FOSCOLO,UGO FOSCOLO,FOSCOLO,VIA U. FOSCOLO,{C7ABE7FF-EBF2-4638-A059-5E20F0320CCD},,,166.48542232400
1305,VIA,VIA,COSTA DI FAGNANO,COSTA DI FAGNANO,COSTA DI FAGNANO,VIA COSTA DI FAGNANO,{B23C71F9-CF55-4294-B67A-D484E04FED42},,,2878.46347807000
1310,VIA,VIA,E. CREMONINI,ELIGIO CREMONINI,CREMONINI,VIA E. CREMONINI,{4B2AD941-3F3B-4418-82F5-3B341E44BEC5},,,248.48870668800
1315,VIA,VIA,G. CRESCENTINI,GIROLAMO CRESCENTINI,CRESCENTINI,VIA G. CRESCENTINI,{89CFEA62-A710-47C7-BDA3-3686A8FA4680},,,133.48436951300
1317,VIA,VIA,DEL CRINALE,DEL CRINALE,CRINALE,VIA DEL CRINALE,{2F4293E8-AF8E-4AA0-80A4-564B33533448},,,190.21680205700
1320,VIA,VIA,B. CROCE,BENEDETTO CROCE,CROCE,VIA B. CROCE,{6FEC917D-A27C-4AE6-9DAF-0D6A581D4A25},,,185.92979808600
1325,VIA,VIA,E. CURIEL,EUGENIO CURIEL,CURIEL,VIA E. CURIEL,{ED6037ED-4576-480C-B8C2-3C71AC357CC7},,,145.31616160100
1330,PLE,PIAZZALE,CURTATONE,CURTATONE,CURTATONE,PLE CURTATONE,{FBAF5DFB-8C15-4A0F-B744-1A0C859BF7A9},,,201.35463295700
1335,VIA,VIA,CUSTOZA,CUSTOZA,CUSTOZA,VIA CUSTOZA,{4493D689-6AF3-421A-8654-40921384D827},,,94.10746693000
1338,VIA,VIA,D. D'AMBROSI,DANTE D'AMBROSI,D'AMBROSI,VIA D. D'AMBROSI,{69B1FB5F-1E3B-41D3-9EC9-4E563678C20A},,,172.81892965000
1340,VIA,VIA,F.LLI DANDOLO,F.LLI DANDOLO,DANDOLO,VIA F.LLI DANDOLO,{8A703AE9-CE65-48DE-8F87-6999BA4A9C96},,,275.41890761400
1343,PLE,PIAZZALE,G. D'ANNUNZIO,GABRIELE D'ANNUNZIO,D'ANNUNZIO,PLE G. D'ANNUNZIO,{4AD706E3-93A6-4A47-9841-88ACE88BC8ED},,,127.21702404100
1345,VLE,VIALE,DANTE ALIGHIERI,ALIGHIERI DANTE,DANTE ALIGHIERI,VLE DANTE ALIGHIERI,{3CCD1525-F8AD-4DDE-9DA5-FA78097DA1F3},,,330.27761113800
1347,VIA,VIA,S. D'ACQUISTO,SALVO D'ACQUISTO,D'ACQUISTO,VIA S. D'ACQUISTO,{8F3E87E1-932D-4FA0-B3E1-8CA16D5970DD},,,255.08349944200
1350,VIA,VIA,C. DAVANZATI,CHIARO DAVANZATI,DAVANZATI,VIA C. DAVANZATI,{1B93E093-3206-438C-BD7D-EAFF0A4E8C1A},,,65.86034494040
1355,VIA,VIA,M. D'AZEGLIO,MASSIMO D'AZEGLIO,D'AZEGLIO,VIA M. D'AZEGLIO,{018BE7A2-7C9A-4879-9049-CFA8DB486C2A},,,67.29649545130
1360,VIA,VIA,E. DE AMICIS,EDMONDO DE AMICIS,DE AMICIS,VIA E. DE AMICIS,{2AE3E945-0DD2-4DE6-8CC4-8EF9140C7A2A},,,69.63072977210
1365,VIA,VIA,A. DE GASPERI,ALCIDE DE GASPERI,DE GASPERI,VIA A. DE GASPERI,{40180DF3-4AED-4A3E-81BC-7237CD3F11F8},,,301.88177780300
1370,VIA,VIA,ALCIBIADE DELLA CHIARA,ALCIBIADE DELLA CHIARA,DELLA CHIARA,VIA ALCIBIADE DELLA CHIARA,{42617E05-D9EC-4DCF-9BD3-4915A808ED0C},,,83.53175161270
1375,VIA,VIA,L. DELLA ROBBIA,LUCA DELLA ROBBIA,DELLA ROBBIA,VIA L. DELLA ROBBIA,{C89835B7-5274-4EFA-98B5-7508F4E7ADBF},,,282.63853200400
